要素,长度,宽度,高度,id_range,nums,,英文,,颜色代码
自动售货机,3,2,6,"[10, 11]",2,,vending_machine,,#E0E0E0
公告栏,6,1,5,"[12, 13]",2,,display_stand,,#FFA726
电话亭,3,3,5,"[14, 15]",2,,telephone_kiosk,,#1565C0
公交站牌,2,1,5,"[16, 17]",2,,bus_stop,,#1E88E5
树干,1,1,5,"[18, 21]",4,,tree,,#2E7D32
邮筒,1,1,4,"[22, 25]",4,,pillar_box,,#C62828
垃圾桶,2,1,3,"[26, 29]",4,,trash_bin,,#424242
立展板,2,1,2,"[30, 33]",4,,poster_stand,,#EC407A
消防栓,1,1,2,"[34, 37]",4,,fire_hydrant,,#F44336
自行车架,1,1,1,"[38, 45]",8,,bike_rack,,#607D8B
自行车,3,1,2,"[46, 47]",2,,bicycle,,#5C6BC0
桌椅单元,1,1,1,"[48, 67]",20,,outdoor_seating,,#FF7043
石墩,1,1,1,"[68, 71]",4,,bollard,,#BDBDBD
电线杆,1,1,6,"[72, 73]",2,,utility_pole,,#9E9E9E
路灯,1,1,5,"[74, 75]",2,,streetlight,,#FDD835
花坛,1,1,2,"[76, 85]",10,,flower_bed,,#66BB6A
雨篷,1,1,4,"[86,89]",4,,awning,,#795548
电压箱,2,2,3,"[90,91]",2,,electrical_box,,#546E7A
信号灯,1,1,4,"[92,95]",4,,traffic_signal,,#D32F2F
